doc_id,nppes_provider_city,nppes_provider_state,number_of_hcpcs,total_services,total_medicare_allowed_amt,number_of_drug_hcpcs,total_drug_services,total_drug_medicare_allowed_amt,number_of_med_hcpcs,total_med_services,total_med_medicare_allowed_amt,beneficiary_average_risk_score
CM5301795,ARLINGTON,TX,9,727,114265.97,0,0,0,9,727,114265.97,2.1528
XT5855950,PORT JEFFERSON,NY,18,801,96955.65,0,0,0,18,801,96955.65,2.1485
AN1214365,DAVIS,CA,29,902,73461.2,NA,NA,NA,NA,NA,NA,1.9641
KI0892691,NAPLES,FL,22,286,46723.99,NA,NA,NA,NA,NA,NA,1.4325
DR6363913,GREENVILLE,SC,47,29196,338336.78,7,28079,200633.99,40,1117,137702.79,1.6583
LI5484583,SEATTLE,WA,19,352,47340.43,0,0,0,19,352,47340.43,1.3572
JC8092854,PEORIA,IL,22,1293,167046.97,0,0,0,22,1293,167046.97,1.6998
TQ3105651,NEWARK,DE,17,762,108726.21,0,0,0,17,762,108726.21,2.0395
TP4256275,PITTSBURGH,PA,17,389,42979.31,0,0,0,17,389,42979.31,1.7761
OH4026307,NASHVILLE,TN,15,212,24710.06,0,0,0,15,212,24710.06,1.2734
EA6841219,DURHAM,NC,31,811,94733.3,0,0,0,31,811,94733.3,1.4629
DC9508212,COLUMBIA,MO,35,919,100400.5,0,0,0,35,919,100400.5,1.776
QK6021344,HOUSTON,TX,27,1228,137414.02,0,0,0,27,1228,137414.02,2.1403
QO0210176,ALBUQUERQUE,NM,19,85,10552.25,0,0,0,19,85,10552.25,1.2668
KP6453360,CHICAGO,IL,22,835,93350.83,0,0,0,22,835,93350.83,1.4972
QA2693488,CHICAGO,IL,27,7816,237958.76,2,6460,37531.41,25,1356,200427.35,2.34
KF6623565,SAN ANTONIO,TX,27,3136,141609.67,NA,NA,NA,NA,NA,NA,1.6887
WH3230368,PHILADELPHIA,PA,31,43667,397614.27,3,42535,249994.74,28,1132,147619.53,1.5149
VT7994514,LEBANON,NH,35,582,56419.24,0,0,0,35,582,56419.24,1.4044
WR2187476,BAYSIDE,NY,48,20858,834141.77,1,17200,94435.9,47,3658,739705.87,1.3125
RA3640074,PHILADELPHIA,PA,19,424,67236.34,0,0,0,19,424,67236.34,1.8804
XZ8826672,QUINCY,IL,51,18197,294239.09,1,16600,91013,50,1597,203226.09,1.5657
